Model,MSE,RMSE,MAE,R2
RandomForest,3.349386561877132,1.830132935575209,1.5119723005562447,0.24119450408155974
Ridge,2.929165540593141,1.7114805113097669,1.4877026424774336,0.33639582365455245
Lasso,4.019050607066991,2.004756994517538,1.6369525122136566,0.08948172070421934
SVR,3.0648402943877033,1.7506685278452068,1.48215077644437,0.30565862836975466
XGBoost,4.198563457050257,2.0490396426253588,1.746725853924869,0.04881297893947556
LightGBM,3.3796107943214455,1.838371778047478,1.490926761699077,0.2343471864414579
